cod_ibge;municipio;nome_ra;cod_ra;cod_drs;nome_drs;nome_rm
3500000;Estado sem especificação;Estado sem especificação;Estado sem especificação;Estado sem especificação;Estado sem especificação;Estado sem especificação
3500105;Adamantina;RA de Presidente Prudente;9;5;Marília;Demais municípios
3500204;Adolfo;RA de São José do Rio Preto;14;15;São José do Rio Preto;Demais municípios
3500303;Aguaí;RA de Campinas;4;14;São João da Boa Vista;Demais municípios
3500402;Águas da Prata;RA de Campinas;4;14;São João da Boa Vista;Demais municípios
3500501;Águas de Lindóia;RA de Campinas;4;3;Campinas;Demais municípios
3500550;Águas de Santa Bárbara;RA de Sorocaba;13;12;Bauru;Demais municípios
3500600;Águas de São Pedro;RA de Campinas;4;11;Piracicaba;Demais municípios
3500709;Agudos;RA de Bauru;3;12;Bauru;Demais municípios
3500758;Alambari;RA de Sorocaba;13;6;Sorocaba;RM de Sorocaba
3500808;Alfredo Marcondes;RA de Presidente Prudente;9;2;Presidente Prudente;Demais municípios
3500907;Altair;RA de Barretos;2;16;Barretos;Demais municípios
3501004;Altinópolis;RA de Ribeirão Preto;11;1;Ribeirão Preto;RM de Ribeirão Preto
3501103;Alto Alegre;RA de Araçatuba;1;7;Araçatuba;Demais municípios
3501152;Alumínio;RA de Sorocaba;13;6;Sorocaba;RM de Sorocaba
3501202;Álvares Florence;RA de São José do Rio Preto;14;15;São José do Rio Preto;Demais municípios
3501301;Álvares Machado;RA de Presidente Prudente;9;2;Presidente Prudente;Demais municípios
3501400;Álvaro de Carvalho;RA de Marília;8;5;Marília;Demais municípios
3501509;Alvinlândia;RA de Marília;8;5;Marília;Demais municípios
3501608;Americana;RA de Campinas;4;3;Campinas;RM de Campinas
3501707;Américo Brasiliense;RA Central;5;8;Araraquara;Demais municípios
3501806;Américo de Campos;RA de São José do Rio Preto;14;15;São José do Rio Preto;Demais municípios
3501905;Amparo;RA de Campinas;4;3;Campinas;Demais municípios
3502002;Analândia;RA de Campinas;4;11;Piracicaba;Demais municípios
3502101;Andradina;RA de Araçatuba;1;7;Araçatuba;Demais municípios
3502200;Angatuba;RA de Itapeva;7;6;Sorocaba;Demais municípios
3502309;Anhembi;RA de Sorocaba;13;12;Bauru;Demais municípios
3502408;Anhumas;RA de Presidente Prudente;9;2;Presidente Prudente;Demais municípios
3502507;Aparecida;RA de São José dos Campos;15;17;Taubaté;RM do Vale do Paraíba e Litoral Norte
3502606;Aparecida d'Oeste;RA de São José do Rio Preto;14;15;São José do Rio Preto;Demais municípios
3502705;Apiaí;RA de Itapeva;7;6;Sorocaba;Demais municípios
3502754;Araçariguama;RA de Sorocaba;13;6;Sorocaba;RM de Sorocaba
3502804;Araçatuba;RA de Araçatuba;1;7;Araçatuba;Demais municípios
3502903;Araçoiaba da Serra;RA de Sorocaba;13;6;Sorocaba;RM de Sorocaba
3503000;Aramina;RA de Franca;6;4;Franca;Demais municípios
3503109;Arandu;RA de Itapeva;7;12;Bauru;Demais municípios
3503158;Arapeí;RA de São José dos Campos;15;17;Taubaté;RM do Vale do Paraíba e Litoral Norte
3503208;Araraquara;RA Central;5;8;Araraquara;Demais municípios
3503307;Araras;RA de Campinas;4;11;Piracicaba;Demais municípios
3503356;Arco-Íris;RA de Marília;8;5;Marília;Demais municípios
3503406;Arealva;RA de Bauru;3;12;Bauru;Demais municípios
3503505;Areias;RA de São José dos Campos;15;17;Taubaté;RM do Vale do Paraíba e Litoral Norte
3503604;Areiópolis;RA de Sorocaba;13;12;Bauru;Demais municípios
3503703;Ariranha;RA de São José do Rio Preto;14;15;São José do Rio Preto;Demais municípios
3503802;Artur Nogueira;RA de Campinas;4;3;Campinas;RM de Campinas
3503901;Arujá;Região Metropolitana de São Paulo;10;10;Grande São Paulo;RM de São Paulo
3503950;Aspásia;RA de São José do Rio Preto;14;15;São José do Rio Preto;Demais municípios
3504008;Assis;RA de Marília;8;5;Marília;Demais municípios
3504107;Atibaia;RA de Campinas;4;3;Campinas;Demais municípios
3504206;Auriflama;RA de Araçatuba;1;7;Araçatuba;Demais municípios
3504305;Avaí;RA de Bauru;3;12;Bauru;Demais municípios
3504404;Avanhandava;RA de Araçatuba;1;7;Araçatuba;Demais municípios
3504503;Avaré;RA de Sorocaba;13;12;Bauru;Demais municípios
3504602;Bady Bassitt;RA de São José do Rio Preto;14;15;São José do Rio Preto;Demais municípios
3504701;Balbinos;RA de Bauru;3;12;Bauru;Demais municípios
3504800;Bálsamo;RA de São José do Rio Preto;14;15;São José do Rio Preto;Demais municípios
3504909;Bananal;RA de São José dos Campos;15;17;Taubaté;RM do Vale do Paraíba e Litoral Norte
3505005;Barão de Antonina;RA de Itapeva;7;12;Bauru;Demais municípios
3505104;Barbosa;RA de Araçatuba;1;7;Araçatuba;Demais municípios
3505203;Bariri;RA de Bauru;3;12;Bauru;Demais municípios
3505302;Barra Bonita;RA de Bauru;3;12;Bauru;Demais municípios
3505351;Barra do Chapéu;RA de Itapeva;7;6;Sorocaba;Demais municípios
3505401;Barra do Turvo;RA de Registro;16;9;Registro;Demais municípios
3505500;Barretos;RA de Barretos;2;16;Barretos;Demais municípios
3505609;Barrinha;RA de Ribeirão Preto;11;1;Ribeirão Preto;RM de Ribeirão Preto
3505708;Barueri;Região Metropolitana de São Paulo;10;10;Grande São Paulo;RM de São Paulo
3505807;Bastos;RA de Marília;8;5;Marília;Demais municípios
3505906;Batatais;RA de Franca;6;1;Ribeirão Preto;RM de Ribeirão Preto
3506003;Bauru;RA de Bauru;3;12;Bauru;Demais municípios
3506102;Bebedouro;RA de Barretos;2;16;Barretos;Demais municípios
3506201;Bento de Abreu;RA de Araçatuba;1;7;Araçatuba;Demais municípios
3506300;Bernardino de Campos;RA de Marília;8;5;Marília;Demais municípios
3506359;Bertioga;RA de Santos;12;13;Baixada Santista;RM da Baixada Santista
3506409;Bilac;RA de Araçatuba;1;7;Araçatuba;Demais municípios
3506508;Birigui;RA de Araçatuba;1;7;Araçatuba;Demais municípios
3506607;Biritiba Mirim;Região Metropolitana de São Paulo;10;10;Grande São Paulo;RM de São Paulo
3506706;Boa Esperança do Sul;RA Central;5;8;Araraquara;Demais municípios
3506805;Bocaina;RA de Bauru;3;12;Bauru;Demais municípios
3506904;Bofete;RA de Sorocaba;13;12;Bauru;Demais municípios
3507001;Boituva;RA de Sorocaba;13;6;Sorocaba;RM de Sorocaba
3507100;Bom Jesus dos Perdões;RA de Campinas;4;3;Campinas;Demais municípios
3507159;Bom Sucesso de Itararé;RA de Itapeva;7;6;Sorocaba;Demais municípios
3507209;Borá;RA de Marília;8;5;Marília;Demais municípios
3507308;Boracéia;RA de Bauru;3;12;Bauru;Demais municípios
3507407;Borborema;RA Central;5;8;Araraquara;Demais municípios
3507456;Borebi;RA de Bauru;3;12;Bauru;Demais municípios
