Data;Região;Taxa1;Taxa2
01/03/2017;Estado de São Paulo;14,2;20,5
01/06/2017;Estado de São Paulo;13,5;20,5
01/09/2017;Estado de São Paulo;13,2;20,4
01/12/2017;Estado de São Paulo;12,7;20,4
01/03/2018;Estado de São Paulo;14;21
01/06/2018;Estado de São Paulo;13,6;21,7
01/09/2018;Estado de São Paulo;13,1;21
01/12/2018;Estado de São Paulo;12,4;20,5
01/03/2019;Estado de São Paulo;13,5;21
01/06/2019;Estado de São Paulo;12,8;21,7
01/09/2019;Estado de São Paulo;12;20,4
01/12/2019;Estado de São Paulo;11,5;19,1
01/03/2020;Estado de São Paulo;12,2;20,3
01/06/2020;Estado de São Paulo;13,6;25,5
01/09/2020;Estado de São Paulo;15,1;26,8
01/12/2020;Estado de São Paulo;14,6;25,1
01/03/2021;Estado de São Paulo;14,6;25,9
01/06/2021;Estado de São Paulo;14,4;25,1
01/03/2017;Região Metropolitana de São Paulo;15,2;21,5
01/06/2017;Região Metropolitana de São Paulo;14,6;21,4
01/09/2017;Região Metropolitana de São Paulo;14,2;20,9
01/12/2017;Região Metropolitana de São Paulo;14,2;20,5
01/03/2018;Região Metropolitana de São Paulo;15;21,1
01/06/2018;Região Metropolitana de São Paulo;15;22,3
01/09/2018;Região Metropolitana de São Paulo;14,6;21,6
01/12/2018;Região Metropolitana de São Paulo;14,2;21,3
01/03/2019;Região Metropolitana de São Paulo;14,8;21,4
01/06/2019;Região Metropolitana de São Paulo;14,1;22,3
01/09/2019;Região Metropolitana de São Paulo;13,1;21,2
01/12/2019;Região Metropolitana de São Paulo;12,7;19,7
01/03/2020;Região Metropolitana de São Paulo;13,5;20,4
01/06/2020;Região Metropolitana de São Paulo;15,8;27,2
01/09/2020;Região Metropolitana de São Paulo;17,2;28
01/12/2020;Região Metropolitana de São Paulo;16,4;26,2
01/03/2021;Região Metropolitana de São Paulo;15,8;26,2
01/06/2021;Região Metropolitana de São Paulo;15,7;26,1
01/03/2017;ESP exceto RMSP;13,3;19,5
01/06/2017;ESP exceto RMSP;12,4;19,7
01/09/2017;ESP exceto RMSP;12,3;20
01/12/2017;ESP exceto RMSP;11,3;20,3
01/03/2018;ESP exceto RMSP;13;20,9
01/06/2018;ESP exceto RMSP;12,3;21,1
01/09/2018;ESP exceto RMSP;11,6;20,3
01/12/2018;ESP exceto RMSP;10,8;19,8
01/03/2019;ESP exceto RMSP;12,3;20,7
01/06/2019;ESP exceto RMSP;11,7;21,1
01/09/2019;ESP exceto RMSP;10,9;19,7
01/12/2019;ESP exceto RMSP;10,3;18,6
01/03/2020;ESP exceto RMSP;11;20,1
01/06/2020;ESP exceto RMSP;11,5;24
01/09/2020;ESP exceto RMSP;13,1;25,7
01/12/2020;ESP exceto RMSP;12,9;24,1
01/03/2021;ESP exceto RMSP;13,4;25,6
01/06/2021;ESP exceto RMSP;13,2;24
01/03/2017;Município de São Paulo;14,1;21,6
01/06/2017;Município de São Paulo;13,3;21,1
01/09/2017;Município de São Paulo;13,2;20,5
01/12/2017;Município de São Paulo;13,4;20,2
01/03/2018;Município de São Paulo;14,2;20,6
01/06/2018;Município de São Paulo;14,7;21,9
01/09/2018;Município de São Paulo;14,1;21,8
01/12/2018;Município de São Paulo;13,6;21,1
01/03/2019;Município de São Paulo;14,3;21,2
01/06/2019;Município de São Paulo;13,5;22,7
01/09/2019;Município de São Paulo;12,5;21,4
01/12/2019;Município de São Paulo;12,2;19,6
01/03/2020;Município de São Paulo;13,2;20,5
01/06/2020;Município de São Paulo;15,3;27,3
01/09/2020;Município de São Paulo;17,3;29
01/12/2020;Município de São Paulo;16,4;28
01/03/2021;Município de São Paulo;15,6;27,6
01/06/2021;Município de São Paulo;15,2;26,7
01/03/2017;Brasil;13,7;24
01/06/2017;Brasil;13;23,7
01/09/2017;Brasil;12,4;23,9
01/12/2017;Brasil;11,8;23,5
01/03/2018;Brasil;13,1;24,6
01/06/2018;Brasil;12,4;24,5
01/09/2018;Brasil;11,9;24,1
01/12/2018;Brasil;11,6;23,8
01/03/2019;Brasil;12,7;25
01/06/2019;Brasil;12;24,8
01/09/2019;Brasil;11,8;24
01/12/2019;Brasil;11;23
01/03/2020;Brasil;12,2;24,4
01/06/2020;Brasil;13,3;29,1
01/09/2020;Brasil;14,6;30,3
01/12/2020;Brasil;13,9;28,7
01/03/2021;Brasil;14,7;29,7
01/06/2021;Brasil;14,1;28,6
