Data;Região;Setor;Variação
01/06/2017;Estado de São Paulo;Agricultura, pecuária e pesca;8913,272268
01/09/2017;Estado de São Paulo;Agricultura, pecuária e pesca;22464,8405
01/12/2017;Estado de São Paulo;Agricultura, pecuária e pesca;40833,19264
01/03/2018;Estado de São Paulo;Agricultura, pecuária e pesca;970,9095185
01/06/2018;Estado de São Paulo;Agricultura, pecuária e pesca;-4334,439252
01/09/2018;Estado de São Paulo;Agricultura, pecuária e pesca;31817,13092
01/12/2018;Estado de São Paulo;Agricultura, pecuária e pesca;10412,88306
01/03/2019;Estado de São Paulo;Agricultura, pecuária e pesca;-27936,05208
01/06/2019;Estado de São Paulo;Agricultura, pecuária e pesca;13910,37144
01/09/2019;Estado de São Paulo;Agricultura, pecuária e pesca;20115,37299
01/12/2019;Estado de São Paulo;Agricultura, pecuária e pesca;13090,11654
01/03/2020;Estado de São Paulo;Agricultura, pecuária e pesca;-44934,85891
01/06/2020;Estado de São Paulo;Agricultura, pecuária e pesca;3176,765076
01/09/2020;Estado de São Paulo;Agricultura, pecuária e pesca;85665,94178
01/12/2020;Estado de São Paulo;Agricultura, pecuária e pesca;-9702,670448
01/03/2021;Estado de São Paulo;Agricultura, pecuária e pesca;-22003,38632
01/06/2021;Estado de São Paulo;Agricultura, pecuária e pesca;-44081,71914
01/06/2017;Estado de São Paulo;Indústria;153411,9548
01/09/2017;Estado de São Paulo;Indústria;-43510,20131
01/12/2017;Estado de São Paulo;Indústria;170260,771
01/03/2018;Estado de São Paulo;Indústria;-109976,2069
01/06/2018;Estado de São Paulo;Indústria;24505,92833
01/09/2018;Estado de São Paulo;Indústria;41765,84458
01/12/2018;Estado de São Paulo;Indústria;-76425,98314
01/03/2019;Estado de São Paulo;Indústria;-39285,64886
01/06/2019;Estado de São Paulo;Indústria;154409,3437
01/09/2019;Estado de São Paulo;Indústria;-52055,80916
01/12/2019;Estado de São Paulo;Indústria;70249,73982
01/03/2020;Estado de São Paulo;Indústria;-71225,40252
01/06/2020;Estado de São Paulo;Indústria;-341227,0406
01/09/2020;Estado de São Paulo;Indústria;-104173,3664
01/12/2020;Estado de São Paulo;Indústria;181947,1069
01/03/2021;Estado de São Paulo;Indústria;83607,17076
01/06/2021;Estado de São Paulo;Indústria;-52551,49321
01/06/2017;Estado de São Paulo;Construção;62926,97733
01/09/2017;Estado de São Paulo;Construção;13014,82256
01/12/2017;Estado de São Paulo;Construção;-40676,12034
01/03/2018;Estado de São Paulo;Construção;-64309,94935
01/06/2018;Estado de São Paulo;Construção;24243,39273
01/09/2018;Estado de São Paulo;Construção;48879,03343
01/12/2018;Estado de São Paulo;Construção;-62195,59705
01/03/2019;Estado de São Paulo;Construção;-40902,52641
01/06/2019;Estado de São Paulo;Construção;13054,65545
01/09/2019;Estado de São Paulo;Construção;117571,2813
01/12/2019;Estado de São Paulo;Construção;-131365,6729
01/03/2020;Estado de São Paulo;Construção;-1850,636868
01/06/2020;Estado de São Paulo;Construção;-232598,1968
01/09/2020;Estado de São Paulo;Construção;78934,67812
01/12/2020;Estado de São Paulo;Construção;-53418,05203
01/03/2021;Estado de São Paulo;Construção;12446,372
01/06/2021;Estado de São Paulo;Construção;59773,17609
01/06/2017;Estado de São Paulo;Comércio;94435,70304
01/09/2017;Estado de São Paulo;Comércio;39456,93585
01/12/2017;Estado de São Paulo;Comércio;-23139,31538
01/03/2018;Estado de São Paulo;Comércio;-30894,6566
01/06/2018;Estado de São Paulo;Comércio;103732,1369
01/09/2018;Estado de São Paulo;Comércio;-35728,61486
01/12/2018;Estado de São Paulo;Comércio;28584,3519
01/03/2019;Estado de São Paulo;Comércio;-45301,80894
01/06/2019;Estado de São Paulo;Comércio;-45851,99308
01/09/2019;Estado de São Paulo;Comércio;29305,18121
01/12/2019;Estado de São Paulo;Comércio;22173,26291
01/03/2020;Estado de São Paulo;Comércio;-87287,61074
01/06/2020;Estado de São Paulo;Comércio;-583311,5856
01/09/2020;Estado de São Paulo;Comércio;57125,90103
01/12/2020;Estado de São Paulo;Comércio;276674,0745
01/03/2021;Estado de São Paulo;Comércio;-153346,5722
01/06/2021;Estado de São Paulo;Comércio;75262,70234
01/06/2017;Estado de São Paulo;Serviços;-52440,11703
01/09/2017;Estado de São Paulo;Serviços;147665,8837
01/12/2017;Estado de São Paulo;Serviços;-123183,1078
01/03/2018;Estado de São Paulo;Serviços;82521,73345
01/06/2018;Estado de São Paulo;Serviços;-40733,34758
01/09/2018;Estado de São Paulo;Serviços;256316,1343
01/12/2018;Estado de São Paulo;Serviços;218894,6454
01/03/2019;Estado de São Paulo;Serviços;81101,30675
01/06/2019;Estado de São Paulo;Serviços;157948,4111
01/09/2019;Estado de São Paulo;Serviços;46306,35304
01/12/2019;Estado de São Paulo;Serviços;153524,9705
01/03/2020;Estado de São Paulo;Serviços;-164355,7301
01/06/2020;Estado de São Paulo;Serviços;-927980,2056
01/09/2020;Estado de São Paulo;Serviços;-350875,3176
01/12/2020;Estado de São Paulo;Serviços;303077,0164
01/03/2021;Estado de São Paulo;Serviços;171919,9994
01/06/2021;Estado de São Paulo;Serviços;351362,2073
01/06/2017;Região Metropolitana de São Paulo;Agricultura, pecuária e pesca;-846,275013
01/09/2017;Região Metropolitana de São Paulo;Agricultura, pecuária e pesca;-2580,595859
01/12/2017;Região Metropolitana de São Paulo;Agricultura, pecuária e pesca;-1709,238216
01/03/2018;Região Metropolitana de São Paulo;Agricultura, pecuária e pesca;2607,256998
01/06/2018;Região Metropolitana de São Paulo;Agricultura, pecuária e pesca;-10614,38802
01/09/2018;Região Metropolitana de São Paulo;Agricultura, pecuária e pesca;7516,878763
01/12/2018;Região Metropolitana de São Paulo;Agricultura, pecuária e pesca;2585,357565
01/03/2019;Região Metropolitana de São Paulo;Agricultura, pecuária e pesca;-8283,422512
01/06/2019;Região Metropolitana de São Paulo;Agricultura, pecuária e pesca;906,0406315
01/09/2019;Região Metropolitana de São Paulo;Agricultura, pecuária e pesca;597,1213393
01/12/2019;Região Metropolitana de São Paulo;Agricultura, pecuária e pesca;-1053,650005
01/03/2020;Região Metropolitana de São Paulo;Agricultura, pecuária e pesca;3042,344439
01/06/2020;Região Metropolitana de São Paulo;Agricultura, pecuária e pesca;-5514,253665
01/09/2020;Região Metropolitana de São Paulo;Agricultura, pecuária e pesca;-2278,168701
