Município,Cód. IBGE,UF,Região,Fabricante,Doses Aplicadas,Dose 1,Dose 2
Abadia De Goiás,520005,GO,Centro-Oeste,FIOCRUZ/ASTRAZENECA,4816,2638,2178
Abadia De Goiás,520005,GO,Centro-Oeste,BUTANTAN/SINOVAC,4535,2649,1886
Abadia De Goiás,520005,GO,Centro-Oeste,PFIZER/BIONTECH,2197,1897,300
Abadia De Goiás,520005,GO,Centro-Oeste,JANSSEN,66,0,0
Abadia Dos Dourados,310010,MG,Sudeste,FIOCRUZ/ASTRAZENECA,4792,2717,2075
Abadia Dos Dourados,310010,MG,Sudeste,BUTANTAN/SINOVAC,2318,1200,1118
Abadia Dos Dourados,310010,MG,Sudeste,PFIZER/BIONTECH,1557,1310,221
Abadia Dos Dourados,310010,MG,Sudeste,JANSSEN,126,0,0
Abadiânia,520010,GO,Centro-Oeste,FIOCRUZ/ASTRAZENECA,11230,6278,4952
Abadiânia,520010,GO,Centro-Oeste,BUTANTAN/SINOVAC,5371,2976,2395
Abadiânia,520010,GO,Centro-Oeste,PFIZER/BIONTECH,3970,3000,969
Abadiânia,520010,GO,Centro-Oeste,JANSSEN,322,0,0
Abaeté,310020,MG,Sudeste,FIOCRUZ/ASTRAZENECA,11746,6716,5030
Abaeté,310020,MG,Sudeste,BUTANTAN/SINOVAC,10760,5740,5020
Abaeté,310020,MG,Sudeste,PFIZER/BIONTECH,7136,5773,1363
Abaeté,310020,MG,Sudeste,JANSSEN,498,0,0
Abaetetuba,150010,PA,Norte,FIOCRUZ/ASTRAZENECA,122413,80948,41465
Abaetetuba,150010,PA,Norte,BUTANTAN/SINOVAC,24873,14595,10277
Abaetetuba,150010,PA,Norte,PFIZER/BIONTECH,8582,8553,29
Abaetetuba,150010,PA,Norte,JANSSEN,1060,0,0
Abaiara,230010,CE,Nordeste,BUTANTAN/SINOVAC,1399,826,573
Abaiara,230010,CE,Nordeste,FIOCRUZ/ASTRAZENECA,416,270,146
Abaiara,230010,CE,Nordeste,PFIZER/BIONTECH,17,17,0
Abaíra,290010,BA,Nordeste,FIOCRUZ/ASTRAZENECA,7460,3998,3462
Abaíra,290010,BA,Nordeste,BUTANTAN/SINOVAC,3302,1654,1648
Abaíra,290010,BA,Nordeste,PFIZER/BIONTECH,1330,1119,211
Abaíra,290010,BA,Nordeste,JANSSEN,39,0,0
Abaré,290020,BA,Nordeste,FIOCRUZ/ASTRAZENECA,8429,4529,3900
Abaré,290020,BA,Nordeste,BUTANTAN/SINOVAC,7382,3843,3538
Abaré,290020,BA,Nordeste,PFIZER/BIONTECH,5061,4049,955
Abaré,290020,BA,Nordeste,JANSSEN,273,0,0
Abatiá,410010,PR,Sul,FIOCRUZ/ASTRAZENECA,5490,2936,2554
Abatiá,410010,PR,Sul,BUTANTAN/SINOVAC,2950,1495,1455
Abatiá,410010,PR,Sul,PFIZER/BIONTECH,1860,1384,429
Abatiá,410010,PR,Sul,JANSSEN,176,0,0
Abdon Batista,420005,SC,Sul,FIOCRUZ/ASTRAZENECA,1996,1023,973
Abdon Batista,420005,SC,Sul,BUTANTAN/SINOVAC,1336,706,630
Abdon Batista,420005,SC,Sul,PFIZER/BIONTECH,1090,688,348
Abdon Batista,420005,SC,Sul,JANSSEN,85,0,0
Abel Figueiredo,150013,PA,Norte,FIOCRUZ/ASTRAZENECA,3009,2028,981
Abel Figueiredo,150013,PA,Norte,BUTANTAN/SINOVAC,1857,1168,689
Abel Figueiredo,150013,PA,Norte,PFIZER/BIONTECH,508,507,1
Abel Figueiredo,150013,PA,Norte,JANSSEN,166,0,0
Abelardo Luz,420010,SC,Sul,FIOCRUZ/ASTRAZENECA,9718,5163,4555
Abelardo Luz,420010,SC,Sul,BUTANTAN/SINOVAC,5856,3121,2735
Abelardo Luz,420010,SC,Sul,PFIZER/BIONTECH,5089,3697,1325
Abelardo Luz,420010,SC,Sul,JANSSEN,602,0,0
Abre Campo,310030,MG,Sudeste,FIOCRUZ/ASTRAZENECA,7228,4062,3166
Abre Campo,310030,MG,Sudeste,BUTANTAN/SINOVAC,4821,2462,2359
Abre Campo,310030,MG,Sudeste,PFIZER/BIONTECH,4206,3300,896
Abre Campo,310030,MG,Sudeste,JANSSEN,439,0,0
Abreu E Lima,260005,PE,Nordeste,FIOCRUZ/ASTRAZENECA,46981,27260,19721
Abreu E Lima,260005,PE,Nordeste,PFIZER/BIONTECH,33751,25921,7747
Abreu E Lima,260005,PE,Nordeste,BUTANTAN/SINOVAC,31335,17216,14119
Abreu E Lima,260005,PE,Nordeste,JANSSEN,918,0,0
Abreulândia,170025,TO,Norte,FIOCRUZ/ASTRAZENECA,1897,1143,754
Abreulândia,170025,TO,Norte,BUTANTAN/SINOVAC,622,329,293
Abreulândia,170025,TO,Norte,PFIZER/BIONTECH,345,341,4
Abreulândia,170025,TO,Norte,JANSSEN,45,0,0
Acaiaca,310040,MG,Sudeste,FIOCRUZ/ASTRAZENECA,2955,1765,1190
Acaiaca,310040,MG,Sudeste,BUTANTAN/SINOVAC,1368,713,655
Acaiaca,310040,MG,Sudeste,PFIZER/BIONTECH,1035,881,150
Acaiaca,310040,MG,Sudeste,JANSSEN,66,0,0
Açailândia,210005,MA,Nordeste,FIOCRUZ/ASTRAZENECA,46503,28223,18280
Açailândia,210005,MA,Nordeste,PFIZER/BIONTECH,33712,24885,8564
Açailândia,210005,MA,Nordeste,BUTANTAN/SINOVAC,16441,9142,7299
Açailândia,210005,MA,Nordeste,JANSSEN,2878,0,0
Acajutiba,290030,BA,Nordeste,FIOCRUZ/ASTRAZENECA,3686,2234,1452
Acajutiba,290030,BA,Nordeste,BUTANTAN/SINOVAC,3251,1868,1383
Acajutiba,290030,BA,Nordeste,PFIZER/BIONTECH,2766,2434,332
Acajutiba,290030,BA,Nordeste,JANSSEN,206,0,0
Acará,150020,PA,Norte,FIOCRUZ/ASTRAZENECA,23369,18941,4428
Acará,150020,PA,Norte,BUTANTAN/SINOVAC,8392,4525,3867
Acará,150020,PA,Norte,JANSSEN,1128,0,0
Acará,150020,PA,Norte,PFIZER/BIONTECH,159,153,3
Acarape,230015,CE,Nordeste,BUTANTAN/SINOVAC,2581,1344,1237
Acarape,230015,CE,Nordeste,FIOCRUZ/ASTRAZENECA,616,334,282
Acarape,230015,CE,Nordeste,PFIZER/BIONTECH,1,1,0
Acaraú,230020,CE,Nordeste,BUTANTAN/SINOVAC,8492,4370,4122
Acaraú,230020,CE,Nordeste,FIOCRUZ/ASTRAZENECA,5984,3417,2567
Acaraú,230020,CE,Nordeste,PFIZER/BIONTECH,72,63,9
Acaraú,230020,CE,Nordeste,JANSSEN,9,0,0
Acari,240010,RN,Nordeste,FIOCRUZ/ASTRAZENECA,5017,2793,2224
Acari,240010,RN,Nordeste,BUTANTAN/SINOVAC,3675,1883,1792
Acari,240010,RN,Nordeste,PFIZER/BIONTECH,3194,2568,622
Acari,240010,RN,Nordeste,JANSSEN,161,0,0
Acauã,220005,PI,Nordeste,FIOCRUZ/ASTRAZENECA,3969,2439,1530
Acauã,220005,PI,Nordeste,PFIZER/BIONTECH,2262,1543,718
Acauã,220005,PI,Nordeste,BUTANTAN/SINOVAC,2034,1042,992
Acauã,220005,PI,Nordeste,JANSSEN,140,0,0
Aceguá,430003,RS,Sul,FIOCRUZ/ASTRAZENECA,4322,2552,1770
Aceguá,430003,RS,Sul,BUTANTAN/SINOVAC,1512,729,783
Aceguá,430003,RS,Sul,PFIZER/BIONTECH,1089,662,416
Aceguá,430003,RS,Sul,JANSSEN,141,0,0
Acopiara,230030,CE,Nordeste,BUTANTAN/SINOVAC,10242,5227,5015
Acopiara,230030,CE,Nordeste,FIOCRUZ/ASTRAZENECA,6022,3598,2424
Acopiara,230030,CE,Nordeste,PFIZER/BIONTECH,20,1,19
Acorizal,510010,MT,Centro-Oeste,FIOCRUZ/ASTRAZENECA,3472,1814,1658
Acorizal,510010,MT,Centro-Oeste,BUTANTAN/SINOVAC,2004,1074,930
Acorizal,510010,MT,Centro-Oeste,PFIZER/BIONTECH,1765,1230,477
Acorizal,510010,MT,Centro-Oeste,JANSSEN,120,0,0
Acrelândia,120001,AC,Norte,FIOCRUZ/ASTRAZENECA,7435,3977,3457
Acrelândia,120001,AC,Norte,PFIZER/BIONTECH,3574,2481,1082
Acrelândia,120001,AC,Norte,BUTANTAN/SINOVAC,2630,1612,1018
Acrelândia,120001,AC,Norte,JANSSEN,205,0,0
Acreúna,520013,GO,Centro-Oeste,FIOCRUZ/ASTRAZENECA,11494,6397,5097
Acreúna,520013,GO,Centro-Oeste,PFIZER/BIONTECH,6785,5691,1070
Acreúna,520013,GO,Centro-Oeste,BUTANTAN/SINOVAC,6240,3337,2903
Acreúna,520013,GO,Centro-Oeste,JANSSEN,394,0,0
Açu,240020,RN,Nordeste,FIOCRUZ/ASTRAZENECA,26707,15922,10785
Açu,240020,RN,Nordeste,BUTANTAN/SINOVAC,16512,9415,7097
Açu,240020,RN,Nordeste,PFIZER/BIONTECH,14579,11579,2957
Açu,240020,RN,Nordeste,JANSSEN,874,54,0
Açucena,310050,MG,Sudeste,FIOCRUZ/ASTRAZENECA,5341,3041,2300
Açucena,310050,MG,Sudeste,BUTANTAN/SINOVAC,3163,1733,1430
Açucena,310050,MG,Sudeste,PFIZER/BIONTECH,2778,2163,569
Açucena,310050,MG,Sudeste,JANSSEN,279,0,0
Adamantina,350010,SP,Sudeste,FIOCRUZ/ASTRAZENECA,25505,13990,11515
Adamantina,350010,SP,Sudeste,BUTANTAN/SINOVAC,20362,9966,10367
Adamantina,350010,SP,Sudeste,PFIZER/BIONTECH,9752,5565,4102
Adamantina,350010,SP,Sudeste,JANSSEN,921,0,0
Adelândia,520015,GO,Centro-Oeste,FIOCRUZ/ASTRAZENECA,1120,810,310
Adelândia,520015,GO,Centro-Oeste,BUTANTAN/SINOVAC,663,409,254
Adelândia,520015,GO,Centro-Oeste,PFIZER/BIONTECH,576,527,40
Adelândia,520015,GO,Centro-Oeste,JANSSEN,16,0,0
Adolfo,350020,SP,Sudeste,FIOCRUZ/ASTRAZENECA,2912,1432,1480
Adolfo,350020,SP,Sudeste,BUTANTAN/SINOVAC,2867,1437,1425
Adolfo,350020,SP,Sudeste,PFIZER/BIONTECH,1286,813,469
Adolfo,350020,SP,Sudeste,JANSSEN,77,0,0
Adrianópolis,410020,PR,Sul,FIOCRUZ/ASTRAZENECA,4402,2609,1793
Adrianópolis,410020,PR,Sul,BUTANTAN/SINOVAC,2478,1301,1177
Adrianópolis,410020,PR,Sul,PFIZER/BIONTECH,1102,935,155
Adrianópolis,410020,PR,Sul,JANSSEN,75,0,0
Adustina,290035,BA,Nordeste,FIOCRUZ/ASTRAZENECA,10169,5338,4831
Adustina,290035,BA,Nordeste,BUTANTAN/SINOVAC,5392,2797,2595
Adustina,290035,BA,Nordeste,PFIZER/BIONTECH,4660,3704,953
Adustina,290035,BA,Nordeste,JANSSEN,200,0,0
Afogados Da Ingazeira,260010,PE,Nordeste,FIOCRUZ/ASTRAZENECA,17762,10043,7719
Afogados Da Ingazeira,260010,PE,Nordeste,BUTANTAN/SINOVAC,14270,7809,6461
Afogados Da Ingazeira,260010,PE,Nordeste,PFIZER/BIONTECH,10438,8264,2074
Afogados Da Ingazeira,260010,PE,Nordeste,JANSSEN,3677,0,0
Afonso Bezerra,240030,RN,Nordeste,FIOCRUZ/ASTRAZENECA,4299,2493,1806
Afonso Bezerra,240030,RN,Nordeste,BUTANTAN/SINOVAC,2891,1565,1326
Afonso Bezerra,240030,RN,Nordeste,PFIZER/BIONTECH,2527,2070,439
Afonso Bezerra,240030,RN,Nordeste,JANSSEN,98,1,0
Afonso Cláudio,320010,ES,Sudeste,FIOCRUZ/ASTRAZENECA,17317,9411,7905
Afonso Cláudio,320010,ES,Sudeste,BUTANTAN/SINOVAC,13420,7442,5978
Afonso Cláudio,320010,ES,Sudeste,PFIZER/BIONTECH,10637,7600,2952
Afonso Cláudio,320010,ES,Sudeste,JANSSEN,1326,0,0
Afonso Cunha,210010,MA,Nordeste,FIOCRUZ/ASTRAZENECA,2816,1616,1200
Afonso Cunha,210010,MA,Nordeste,BUTANTAN/SINOVAC,2347,1248,1099
Afonso Cunha,210010,MA,Nordeste,JANSSEN,1596,0,0
Afonso Cunha,210010,MA,Nordeste,PFIZER/BIONTECH,978,938,4
Afrânio,260020,PE,Nordeste,FIOCRUZ/ASTRAZENECA,9730,5777,3953
Afrânio,260020,PE,Nordeste,PFIZER/BIONTECH,6530,4549,1895
Afrânio,260020,PE,Nordeste,BUTANTAN/SINOVAC,6482,3537,2945
Afrânio,260020,PE,Nordeste,JANSSEN,131,0,0
Afuá,150030,PA,Norte,FIOCRUZ/ASTRAZENECA,26191,19551,6640
Afuá,150030,PA,Norte,BUTANTAN/SINOVAC,2286,1173,1113
Afuá,150030,PA,Norte,PFIZER/BIONTECH,1524,1506,18
Afuá,150030,PA,Norte,JANSSEN,346,0,0
Agrestina,260030,PE,Nordeste,FIOCRUZ/ASTRAZENECA,12169,7842,4327
Agrestina,260030,PE,Nordeste,BUTANTAN/SINOVAC,7477,4297,3180
Agrestina,260030,PE,Nordeste,PFIZER/BIONTECH,5825,4822,1003
Agrestina,260030,PE,Nordeste,JANSSEN,194,0,0
Agricolândia,220010,PI,Nordeste,FIOCRUZ/ASTRAZENECA,3053,1660,1393
Agricolândia,220010,PI,Nordeste,BUTANTAN/SINOVAC,2097,1150,947
Agricolândia,220010,PI,Nordeste,PFIZER/BIONTECH,1377,991,363
Agricolândia,220010,PI,Nordeste,JANSSEN,76,0,0
