"Município";"Quantidade existente"
"355030 São Paulo";29023
"330455 Rio de Janeiro";16019
"310620 Belo Horizonte";8945
"230440 Fortaleza";8877
"261160 Recife";8798
"292740 Salvador";8734
"530010 Brasília";7512
"520870 Goiânia";6847
"431490 Porto Alegre";6665
"410690 Curitiba";6204
"211130 São Luís";4404
"150140 Belém";4272
"130260 Manaus";3650
"240810 Natal";3529
"221100 Teresina";3423
"250750 João Pessoa";3245
"270430 Maceió";2989
"350950 Campinas";2752
"313670 Juiz de Fora";2487
"330330 Niterói";2334
"500270 Campo Grande";2320
"354340 Ribeirão Preto";2206
"280030 Aracaju";2140
"354980 São José do Rio Preto";2131
"351880 Guarulhos";2026
"110020 Porto Velho";1934
"354870 São Bernardo do Campo";1915
"411370 Londrina";1913
"330390 Petrópolis";1879
"250400 Campina Grande";1851
"354780 Santo André";1804
"411520 Maringá";1774
"354850 Santos";1746
"320530 Vitória";1742
"330100 Campos dos Goytacazes";1733
"510340 Cuiabá";1707
"420540 Florianópolis";1636
"354990 São José dos Campos";1596
"355220 Sorocaba";1511
"317020 Uberlândia";1476
"291080 Feira de Santana";1410
"430510 Caxias do Sul";1371
"330490 São Gonçalo";1326
"140010 Boa Vista";1300
"520140 Aparecida de Goiânia";1292
"350600 Bauru";1283
"420910 Joinville";1245
"354140 Presidente Prudente";1132
"310560 Barbacena";1130
"431440 Pelotas";1127
"330170 Duque de Caxias";1101
"520110 Anápolis";1100
"431410 Passo Fundo";1098
"270030 Arapiraca";1063
"120040 Rio Branco";1030
"410420 Campo Largo";1025
"352260 Itapira";1003
"320520 Vila Velha";992
"172100 Palmas";979
"353440 Osasco";978
"210530 Imperatriz";976
"260410 Caruaru";960
"410480 Cascavel";959
"353060 Mogi das Cruzes";951
"430460 Canoas";948
"160030 Macapá";940
"314330 Montes Claros";934
"352530 Jaú";932
"431690 Santa Maria";926
"330350 Nova Iguaçu";915
"231290 Sobral";902
"261110 Petrolina";896
"352900 Marília";883
"260790 Jaboatão dos Guararapes";881
"317010 Uberaba";853
"421660 São José";845
"293330 Vitória da Conquista";845
"150080 Ananindeua";829
"240800 Mossoró";820
"354880 São Caetano do Sul";789
"352590 Jundiaí";784
"350750 Botucatu";746
"310670 Betim";725
"351620 Franca";714
"291920 Lauro de Freitas";709
"420240 Blumenau";699
"351640 Franco da Rocha";699
"312230 Divinópolis";695
"412810 Umuarama";687
"411950 Piraquara";684
"353870 Piracicaba";678
"330340 Nova Friburgo";678
"351380 Diadema";674
"291360 Ilhéus";662
"330630 Volta Redonda";649
"411990 Ponta Grossa";649
"260960 Olinda";642
"150680 Santarém";625
"500370 Dourados";623
"313130 Ipatinga";619
"230730 Juazeiro do Norte";613
"352220 Itapecerica da Serra";612
"320120 Cachoeiro de Itapemirim";602
"320500 Serra";594
"291800 Jequié";593
"170210 Araguaína";591
"351110 Catanduva";591
"220770 Parnaíba";589
"312770 Governador Valadares";587
"311860 Contagem";583
"291480 Itabuna";575
"314390 Muriaé";569
"150240 Castanhal";558
"355410 Taubaté";557
"420460 Criciúma";555
"510760 Rondonópolis";551
"510840 Várzea Grande";547
"431560 Rio Grande";542
"291840 Juazeiro";541
"431340 Novo Hamburgo";532
"355280 Taboão da Serra";531
"350160 Americana";525
"522140 Trindade";513
"350330 Araras";511
"350570 Barueri";511
"350550 Barretos";505
"260290 Cabo de Santo Agostinho";505
"350320 Araraquara";499
"330070 Cabo Frio";499
"315180 Poços de Caldas";497
"320150 Colatina";491
"330240 Macaé";491
"521880 Rio Verde";488
"354890 São Carlos";487
"420420 Chapecó";484
"261390 Serra Talhada";483
"261070 Paulista";482
"150360 Itaituba";482
"410940 Guarapuava";474
"351870 Guarujá";466
"421870 Tubarão";463
"220800 Picos";460
"310160 Alfenas";453
"351518 Espírito Santo do Pinhal";448
"350280 Araçatuba";445
"314800 Patos de Minas";443
"352710 Lins";442
"150553 Parauapebas";428
"410150 Arapongas";428
"354100 Praia Grande";426
"230420 Crato";423
"410830 Foz do Iguaçu";411
"261640 Vitória de Santo Antão";408
"260345 Camaragibe";408
"290320 Barreiras";406
"290570 Camaçari";404
"330045 Belford Roxo";403
"352440 Jacareí";403
"352940 Mauá";402
"330580 Teresópolis";397
"420820 Itajaí";397
"352690 Limeira";393
"230190 Barbalha";392
"150170 Bragança";392
"150420 Marabá";390
"350760 Bragança Paulista";389
"420930 Lages";385
"330220 Itaperuna";383
"260600 Garanhuns";379
"110004 Cacoal";376
"351080 Casa Branca";372
"353070 Mogi Guaçu";372
"351300 Cotia";369
"315250 Pouso Alegre";369
"431020 Ijuí";369
"354390 Rio Claro";361
"230765 Maracanaú";358
"410400 Campina Grande do Sul";356
"350190 Amparo";355
"411210 Jandaia do Sul";351
"355500 Tupã";350
"320130 Cariacica";350
"352050 Indaiatuba";350
"317070 Varginha";345
"314790 Passos";345
"260680 Igarassu";344
"330420 Resende";342
"210300 Caxias";337
"316990 Ubá";336
"210990 Santa Inês";335
"352390 Itu";335
"292870 Santo Antônio de Jesus";328
"316720 Sete Lagoas";328
"520540 Ceres";327
"350290 Araçoiaba da Serra";325
"251080 Patos";325
"412770 Toledo";321
"316470 São Sebastião do Paraíso";319
"330620 Vassouras";319
"420890 Jaraguá do Sul";318
"310400 Araxá";317
"316860 Teófilo Otoni";317
"352250 Itapevi";316
"354750 Santa Rita do Passa Quatro";314
"330610 Valença";313
"330040 Barra Mansa";313
"431680 Santa Cruz do Sul";312
"330190 Itaboraí";311
"230760 Limoeiro do Norte";306
"350400 Assis";306
"261000 Palmares";304
"231140 Quixeramobim";303
"330010 Angra dos Reis";299
"320490 São Mateus";298
"432300 Viamão";297
"210120 Bacabal";293
"150810 Tucuruí";291
"293135 Teixeira de Freitas";289
"110012 Ji-Paraná";288
"411915 Pinhais";287
"311830 Conselheiro Lafaiete";287
"353890 Pirajuí";285
"150060 Altamira";285
"330600 Três Rios";284
"420200 Balneário Camboriú";282
"150010 Abaetetuba";281
"351500 Embu das Artes";280
"351670 Garça";280
"150613 Redenção";280
"522160 Uruaçu";279
"430210 Bento Gonçalves";278
"251370 Santa Rita";276
"221060 São Raimundo Nonato";276
"353800 Pindamonhangaba";274
"270230 Coruripe";274
"330320 Nilópolis";273
"510790 Sinop";272
"230370 Caucaia";271
"315210 Ponte Nova";270
"351060 Carapicuíba";270
"420290 Brusque";270
"351840 Guaratinguetá";270
"260005 Abreu e Lima";269
"430700 Erechim";268
"430160 Bagé";268
"352310 Itaquaquecetuba";267
"411850 Pato Branco";267
"314700 Paracatu";266
"220390 Floriano";263
"410140 Apucarana";262
"412820 União da Vitória";262
"351050 Caraguatatuba";261
"291072 Eunápolis";260
"313170 Itabira";260
"210140 Balsas";260
"330030 Barra do Piraí";260
"521310 Mineiros";259
"314480 Nova Lima";259
"355100 São Vicente";258
"330270 Maricá";258
"421480 Rio do Sul";258
"261220 Salgueiro";257
"313820 Lavras";254
"520510 Catalão";253
"320320 Linhares";253
"411150 Ivaiporã";253
"410840 Francisco Beltrão";248
"510250 Cáceres";248
"210860 Pinheiro";248
"520860 Goianésia";247
"317130 Viçosa";245
"210005 Açailândia";243
"230250 Brejo Santo";241
"110002 Ariquemes";240
"120020 Cruzeiro do Sul";240
"355700 Votorantim";237
"350010 Adamantina";235
"430300 Cachoeira do Sul";234
"520025 Águas Lindas de Goiás";234
"431750 Santo Ângelo";234
"410640 Cornélio Procópio";233
"410430 Campo Mourão";233
"230550 Iguatu";232
"110030 Vilhena";232
"320040 Anchieta";229
"355240 Sumaré";228
"313420 Ituiutaba";227
"316250 São João del Rei";227
"355710 Votuporanga";227
"240325 Parnamirim";226
"260110 Araripina";226
"211120 São José de Ribamar";225
"293050 Serrinha";224
"431720 Santa Rosa";222
"290520 Caetité";222
"290070 Alagoinhas";221
"250370 Cajazeiras";221
"353470 Ourinhos";220
"355250 Suzano";219
"431240 Montenegro";216
"330575 Tanguá";214
"290840 Conceição do Coité";214
"510025 Alta Floresta";214
"412240 Rolândia";213
"500320 Corumbá";213
"150550 Paragominas";212
"220220 Campo Maior";212
"352430 Jaboticabal";212
"431870 São Leopoldo";209
"311330 Carangola";208
"250630 Guarabira";207
"354580 Santa Bárbara d'Oeste";206
"352450 Jaci";206
"312160 Diamantina";205
"315780 Santa Luzia";204
"210467 Governador Nunes Freire";204
"261450 Surubim";203
"210480 Grajaú";203
"231180 Russas";202
"280350 Lagarto";202
"350970 Campos do Jordão";201
"351970 Ibiúna";201
"430610 Cruz Alta";200
"311340 Caratinga";200
"210570 Lago da Pedra";199
"510792 Sorriso";199
"354910 São João da Boa Vista";199
"150220 Capanema";199
"330020 Araruama";198
"354260 Registro";197
"353080 Mogi Mirim";196
"313940 Manhuaçu";195
"351390 Divinolândia";194
"420900 Joaçaba";194
"430920 Gravataí";194
"412710 Telêmaco Borba";194
"350170 Américo Brasiliense";193
"350410 Atibaia";192
"500830 Três Lagoas";192
"521930 Santa Helena de Goiás";191
"230640 Itapipoca";190
"500630 Paranaíba";190
"210910 Presidente Dutra";189
"351570 Ferraz de Vasconcelos";189
"411820 Paranaguá";189
"170950 Gurupi";189
"431830 São Gabriel";188
"354330 Ribeirão Pires";188
"521190 Jataí";188
"291750 Jacobina";187
