"Município";"Quantidade existente"
"261390 Serra Talhada";483
"230190 Barbalha";392
"230760 Limoeiro do Norte";306
"231140 Quixeramobim";303
"150060 Altamira";285
"230250 Brejo Santo";241
"260110 Araripina";226
"293050 Serrinha";224
"510025 Alta Floresta";214
"330575 Tanguá";214
"261450 Surubim";203
"231180 Russas";202
"354260 Registro";197
"291750 Jacobina";187
"240940 Pau dos Ferros";185
"291170 Guanambi";184
"240200 Caicó";184
"260190 Bezerros";172
"230410 Crateús";171
"352240 Itapeva";166
"353620 Pariquera-Açu";166
"260120 Arcoverde";162
"230870 Morada Nova";158
"313510 Janaúba";156
"230580 Ipu";153
"315700 Salinas";147
"270630 Palmeira dos Índios";146
"150730 São Félix do Xingu";145
"260010 Afogados da Ingazeira";140
"350940 Cajuru";140
"230280 Canindé";135
"352210 Itanhaém";135
"270800 Santana do Ipanema";133
"241120 Santa Cruz";133
"150330 Igarapé-Miri";133
"231330 Tauá";131
"510515 Juína";129
"412060 Prudentópolis";127
"230110 Aracati";124
"240050 Alexandria";124
"260030 Agrestina";123
"231130 Quixadá";123
"292720 Ruy Barbosa";120
"150812 Ulianópolis";115
"110010 Guajará-Mirim";114
"293010 Senhor do Bonfim";114
"260990 Ouricuri";113
"261090 Pesqueira";112
"231340 Tianguá";112
"261100 Petrolândia";112
"290460 Brumado";112
"354680 Santa Isabel";107
"431460 Piratini";105
"521460 Niquelândia";105
"150618 Rondon do Pará";105
"430450 Canguçu";104
"521308 Minaçu";104
"230030 Acopiara";104
"292600 Remanso";101
"251140 Picuí";100
"220840 Piripiri";99
"350390 Arujá";98
"260640 Gravatá";98
"411960 Pitanga";97
"292660 Ribeira do Pombal";95
"260170 Belo Jardim";95
"432140 Tenente Portela";95
"251210 Pombal";94
"293360 Xique-Xique";93
"230260 Camocim";92
"355540 Ubatuba";92
"411930 Pinhão";91
"261360 São José do Egito";90
"353110 Mongaguá";90
"130290 Maués";90
"290390 Bom Jesus da Lapa";90
"291640 Itapetinga";89
"230170 Aurora";89
"130380 São Gabriel da Cachoeira";89
"220780 Paulistana";89
"292360 Paramirim";88
"292120 Miguel Calmon";87
"150090 Augusto Corrêa";86
"520640 Crixás";86
"251130 Piancó";86
"291690 Itiruçu";85
"210060 Amarante do Maranhão";85
"150345 Ipixuna do Pará";85
"313270 Itambacuri";85
"290280 Barra da Estiva";84
"291350 Iguaí";84
"290270 Barra";83
"230020 Acaraú";83
"150293 Dom Eliseu";81
"313580 Jequitinhonha";81
"150815 Uruará";81
"354425 Rosana";80
"353780 Piedade";79
"310340 Araçuaí";79
"352850 Mairiporã";77
"250970 Monteiro";77
"310170 Almenara";77
"130140 Eirunepé";76
"230810 Mauriti";76
"420090 Angelina";75
"221000 São João do Piauí";75
"261410 Sertânia";73
"261560 Trindade";73
"150480 Monte Alegre";71
"293210 Ubaíra";71
"240100 Apodi";71
"260570 Floresta";71
"230840 Missão Velha";71
"241250 São Miguel";70
"261460 Tabira";69
"521830 Posse";69
"290970 Cristópolis";69
"292510 Poções";68
"231310 Tabuleiro do Norte";68
"250510 Cuité";67
"230240 Boa Viagem";66
"110045 Buritis";66
"240720 Macau";66
"230850 Mombaça";65
"150830 Viseu";65
"220830 Piracuruca";65
"150510 Óbidos";65
"291050 Entre Rios";65
"314870 Pedra Azul";65
"520490 Campos Belos";64
"431810 São Francisco de Assis";64
"260300 Cabrobó";64
"313330 Itaobim";63
"510335 Confresa";63
"230380 Cedro";63
"150670 Santana do Araguaia";63
"291300 Ibitiara";62
"352320 Itararé";61
"231230 São Benedito";61
"231220 Santa Quitéria";61
"314180 Minas Novas";61
"260260 Brejo da Madre de Deus";60
"310090 Águas Formosas";60
"290730 Castro Alves";60
"280130 Capela";59
"292640 Riacho de Santana";59
"292500 Planalto";59
"210270 Cantanhede";59
"292050 Maracás";58
"251550 Serra Branca";58
"250440 Conceição";58
"355430 Teodoro Sampaio";58
"320010 Afonso Cláudio";58
"292460 Pindobaçu";58
"231070 Pentecoste";58
"351900 Herculândia";58
"290100 Amargosa";57
"290670 Cândido Sales";57
"290687 Capim Grosso";57
"292700 Rio Real";57
"411440 Mangueirinha";57
"231410 Viçosa do Ceará";57
"292170 Morro do Chapéu";56
"412150 Rebouças";56
"320210 Ecoporanga";56
"261500 Taquaritinga do Norte";56
"316710 Serro";56
"230425 Cruz";56
"350270 Apiaí";56
"240890 Parelhas";55
"240710 Macaíba";55
"251230 Princesa Isabel";55
"412200 Rio Azul";55
"230540 Icó";54
"230710 Jardim";54
"270240 Delmiro Gouveia";54
"260020 Afrânio";54
"293077 Sobradinho";54
"291650 Itapicuru";54
"292340 Palmas de Monte Alto";54
"412796 Turvo";53
"231270 Senador Pompeu";53
"260210 Bom Conselho";53
"260050 Águas Belas";52
"260230 Bonito";52
"270640 Pão de Açúcar";52
"230210 Baturité";52
"290500 Caculé";51
"231050 Pedra Branca";51
"231400 Várzea Alegre";51
"431450 Pinheiro Machado";51
"291580 Itambé";50
"351020 Capão Bonito";50
"251200 Pocinhos";50
"150470 Moju";50
"240060 Almino Afonso";50
"431470 Planalto";50
"432020 Seberi";50
"220190 Bom Jesus";50
"431085 Jaboticaba";50
"270380 Joaquim Gomes";50
"292580 Queimadas";50
"230120 Aracoiaba";50
"312670 Francisco Sá";50
"412380 Santa Izabel do Oeste";50
"231160 Redenção";50
"353950 Pitangueiras";50
"291915 Lapão";50
"355380 Taquarituba";49
"290780 Cícero Dantas";49
"230860 Monsenhor Tabosa";49
"280570 Propriá";49
"291040 Encruzilhada";49
"292905 São Félix do Coribe";49
"230270 Campos Sales";49
"290210 Araci";48
"330530 São Sebastião do Alto";48
"250700 Itaporanga";48
"314140 Medina";48
"110018 Pimenta Bueno";48
"432067 Sinimbu";48
"316270 São João do Paraíso";48
"411727 Nova Tebas";48
"230470 Granja";48
"270290 Girau do Ponciano";48
"240610 Jucurutu";48
"240020 Açu";48
"251690 Uiraúna";47
"310100 Águas Vermelhas";47
"241150 Santo Antônio";47
"270570 Olho d'Água das Flores";47
"172090 Taguatinga";47
"230750 Lavras da Mangabeira";47
"230590 Ipueiras";47
"251390 São Bento";47
"291440 Iraquara";47
"290680 Cansanção";46
"230160 Assaré";46
"260450 Chã Grande";45
"291710 Itororó";45
"291700 Itiúba";45
"210590 Lago Verde";45
"355020 São Miguel Arcanjo";45
"240930 Patu";45
"260730 Ipubi";45
"293030 Serra Dourada";45
"290350 Belo Campo";44
"240450 Guamaré";44
"291240 Ibipeba";44
"110032 São Miguel do Guaporé";44
"150085 Anapu";44
"330090 Cambuci";44
"230075 Amontada";44
"210230 Buriti Bravo";44
"231350 Trairi";44
"230930 Nova Russas";43
"410290 Bituruna";43
"150835 Vitória do Xingu";43
"150190 Bujaru";43
"510642 Peixoto de Azevedo";42
"270710 Piranhas";42
"312560 Felisburgo";42
"230130 Araripe";42
"120060 Tarauacá";42
"311300 Caraí";42
"260530 Exu";42
"150490 Muaná";42
"420010 Abelardo Luz";42
"210407 Feira Nova do Maranhão";42
"290760 Central";42
"230500 Guaraciaba do Norte";42
"312200 Divino";42
"150503 Novo Progresso";42
"412385 Santa Maria do Oeste";41
"352280 Itaporanga";41
"120030 Feijó";41
"240240 Carnaúba dos Dantas";41
"251630 Sumé";41
"150445 Medicilândia";41
"313210 Itacarambi";41
"250690 Itabaiana";41
"420970 Lebon Régis";41
"260880 Lajedo";41
"291880 Laje";41
"231200 Santana do Acaraú";40
"261040 Parnamirim";40
"270940 Viçosa";40
"230900 Mucambo";40
"150795 Tailândia";40
"260320 Caetés";40
"312430 Espinosa";40
"260380 Capoeiras";40
"315560 Rio Pardo de Minas";40
"291160 Governador Mangabeira";40
"330560 Silva Jardim";40
"510785 São Félix do Araguaia";40
"310650 Berilo";40
"291060 Esplanada";40
"240010 Acari";40
"351360 Cunha";40
"410442 Candói";39
"261050 Passira";39
"317160 Virgem da Lapa";39
"292980 Saúde";39
"314290 Monte Azul";39
"251670 Teixeira";39
"290550 Caldeirão Grande";39
"261590 Tuparetama";39
"231320 Tamboril";39
"314530 Novo Cruzeiro";39
"150565 Placas";39
"240830 Nova Cruz";38
"291370 Inhambupe";38
"431915 São Miguel das Missões";38
"313470 Jacinto";38
"230960 Pacajus";38
"130080 Borba";38
"521970 Santa Terezinha de Goiás";38
"330590 Trajano de Moraes";38
"311680 Coluna";38
"313930 Manga";38
"230950 Orós";37
"290660 Candiba";37
"230430 Farias Brito";37
"510718 Ribeirão Cascalheira";37
"510140 Aripuanã";37
"230423 Croatá";37
"150548 Pacajá";37
"251340 Santa Luzia";36
"290620 Canarana";36
"290510 Caém";36
"292370 Paratinga";36
"290260 Baixa Grande";36
"230630 Itapagé";36
"270500 Mata Grande";36
"230655 Itarema";36
"251250 Queimadas";36
"292820 Santana";36
"270070 Batalha";35
"260415 Casinhas";35
"290930 Correntina";35
"320370 Muniz Freire";35
"410680 Cruz Machado";35
"431630 Roque Gonzales";35
"290440 Brejolândia";35
"220820 Pio IX";35
"430400 Campo Novo";35
"230040 Aiuaba";34
"251600 Solânea";34
"240580 João Câmara";34
"354540 Salto Grande";34
"292925 São Gabriel";34
"292205 Mulungu do Morro";34
"261330 São Joaquim do Monte";34
"230520 Hidrolândia";34
"432026 Segredo";34
"293260 Urandi";34
"210510 Icatu";34
"291190 Iaçu";34
"220320 Curimatá";34
"291810 Jeremoabo";34
"412090 Quedas do Iguaçu";33
"230070 Alto Santo";33
"261350 São José do Belmonte";33
"170240 Arraias";33
"260810 João Alfredo";33
"290120 Anagé";33
"261030 Paranatama";33
"290530 Cafarnaum";33
"110130 Mirante da Serra";33
"290200 Aracatu";33
"313600 Joaíma";33
"150020 Acará";33
"260560 Flores";33
"231300 Solonópole";33
"260220 Bom Jardim";33
"150172 Brasil Novo";33
"293060 Serrolândia";33
"293090 Tabocas do Brejo Velho";32
"260970 Orobó";32
"260770 Itapetim";32
"313920 Malacacheta";32
"211180 Sítio Novo";32
"221080 Simplício Mendes";32
"230560 Independência";32
"240090 Antônio Martins";32
"291310 Ibititá";32
"280020 Aquidabã";32
"291770 Jaguarari";32
"210970 Sambaíba";32
"240230 Caraúbas";32
"315600 Rio Vermelho";32
"150495 Nova Esperança do Piriá";32
"150770 São Sebastião da Boa Vista";32
"290290 Barra do Choça";32
"290890 Coração de Maria";32
"291180 Guaratinga";32
"520080 Alvorada do Norte";32
"290130 Andaraí";32
"291835 João Dourado";32
"260370 Canhotinho";32
"354300 Ribeirão Branco";32
"230200 Barro";32
"261400 Serrita";32
"231090 Piquet Carneiro";32
"292190 Mucugê";32
"240570 Jardim do Seridó";32
"292210 Mundo Novo";32
"211040 São Benedito do Rio Preto";32
"230230 Bela Cruz";32
"412250 Roncador";31
"410440 Cândido de Abreu";31
"240670 Lajes";31
"241260 São Paulo do Potengi";31
"251090 Paulista";31
"210020 Alcântara";31
"241020 Portalegre";31
"411080 Iretama";31
"250200 Belém do Brejo do Cruz";31
"150720 São Domingos do Capim";31
"351100 Castilho";31
"130050 Barreirinha";31
"230600 Iracema";31
"261320 São João";31
"510325 Colniza";31
"270440 Major Isidoro";31
"315790 Santa Margarida";31
"130310 Nova Olinda do Norte";31
"290810 Cocos";31
"510706 Querência";31
"230670 Jaguaretama";31
"260875 Lagoa Grande";31
"291085 Filadélfia";31
"411730 Ortigueira";30
"150120 Baião";30
"230320 Caririaçu";30
"290710 Carinhanha";30
"150030 Afuá";30
"290790 Cipó";30
"150350 Irituia";30
"230800 Massapê";30
"314270 Montalvânia";30
"230690 Jaguaribe";30
"291735 Jaborandi";30
"291680 Itarantim";30
"292265 Nordestina";30
"240700 Luís Gomes";30
"293240 Uibaí";30
"261080 Pedra";30
"261310 São Caitano";30
"261230 Saloá";30
"130040 Barcelos";30
"120070 Xapuri";30
"314200 Mirabela";30
"240910 Passa e Fica";30
"292440 Pilão Arcado";30
"293310 Várzea do Poço";30
"241440 Touros";30
"241010 Poço Branco";30
"430590 Coronel Bicaco";30
"291110 Formosa do Rio Preto";29
"290940 Cotegipe";29
"221030 São Julião";29
"291740 Jacaraci";29
"292620 Riachão das Neves";29
"291820 Jiquiriçá";29
"130410 Tapauá";29
"292525 Ponto Novo";29
"230530 Ibiapina";29
"291200 Ibiassucê";29
"292940 São Miguel das Matas";29
"330475 São Francisco de Itabapoana";29
"291420 Irajuba";29
"291340 Igaporã";29
"261260 Santa Maria da Boa Vista";29
"260470 Correntes";29
"231126 Quiterianópolis";29
"260160 Belém do São Francisco";29
"150580 Portel";29
"261290 São Benedito do Sul";28
"412440 Santo Antônio do Sudoeste";28
"292850 Santa Teresinha";28
"290250 Baianópolis";28
"260180 Betânia";28
"270760 Quebrangulo";28
"210047 Alto Alegre do Pindaré";28
"231040 Paramoti";28
"250040 Alagoa Nova";28
"110149 São Francisco do Guaporé";28
"240080 Angicos";28
"250070 São João do Rio do Peixe";28
"290395 Bom Jesus da Serra";28
"230650 Itapiúna";28
"293345 Wanderley";28
"230835 Milhã";28
"230740 Jucás";27
"291905 Lajedo do Tabocal";27
"171050 Itacajá";27
"291970 Macarani";27
"292010 Mairi";27
"313650 Jordânia";27
