Município;Nome_Município;RA;RM;RA_Nome
350010;Adamantina;RA de Presidente Prudente;Demais municípios;Região Administrativa de Presidente Prudente
350020;Adolfo;RA de São José do Rio Preto;Demais municípios;Região Administrativa de São José do Rio Preto
350030;Aguaí;RA de Campinas;Demais municípios;Região Administrativa de Campinas
350040;Águas da Prata;RA de Campinas;Demais municípios;Região Administrativa de Campinas
350050;Águas de Lindóia;RA de Campinas;Demais municípios;Região Administrativa de Campinas
350055;Águas de Santa Bárbara;RA de Sorocaba;Demais municípios;Região Administrativa de Sorocaba
350060;Águas de São Pedro;RA de Campinas;Demais municípios;Região Administrativa de Campinas
350070;Agudos;RA de Bauru;Demais municípios;Região Administrativa de Bauru
350075;Alambari;RA de Sorocaba;RM de Sorocaba;Região Administrativa de Sorocaba
350080;Alfredo Marcondes;RA de Presidente Prudente;Demais municípios;Região Administrativa de Presidente Prudente
350090;Altair;RA de Barretos;Demais municípios;Região Administrativa de Barretos
350100;Altinópolis;RA de Ribeirão Preto;RM de Ribeirão Preto;Região Administrativa de Ribeirão Preto
350110;Alto Alegre;RA de Araçatuba;Demais municípios;Região Administrativa de Araçatuba
350115;Alumínio;RA de Sorocaba;RM de Sorocaba;Região Administrativa de Sorocaba
350120;Álvares Florence;RA de São José do Rio Preto;Demais municípios;Região Administrativa de São José do Rio Preto
350130;Álvares Machado;RA de Presidente Prudente;Demais municípios;Região Administrativa de Presidente Prudente
350140;Álvaro de Carvalho;RA de Marília;Demais municípios;Região Administrativa de Marília
350150;Alvinlândia;RA de Marília;Demais municípios;Região Administrativa de Marília
350160;Americana;RA de Campinas;RM de Campinas;Região Administrativa de Campinas
350170;Américo Brasiliense;RA Central;Demais municípios;Região Administrativa Central
350180;Américo de Campos;RA de São José do Rio Preto;Demais municípios;Região Administrativa de São José do Rio Preto
350190;Amparo;RA de Campinas;Demais municípios;Região Administrativa de Campinas
350200;Analândia;RA de Campinas;Demais municípios;Região Administrativa de Campinas
350210;Andradina;RA de Araçatuba;Demais municípios;Região Administrativa de Araçatuba
350220;Angatuba;RA de Itapeva;Demais municípios;Região Administrativa de Itapeva
350230;Anhembi;RA de Sorocaba;Demais municípios;Região Administrativa de Sorocaba
350240;Anhumas;RA de Presidente Prudente;Demais municípios;Região Administrativa de Presidente Prudente
350250;Aparecida;RA de São José dos Campos;RM do Vale do Paraíba e Litoral Norte;Região Administrativa de São José dos Campos
350260;Aparecida d'Oeste;RA de São José do Rio Preto;Demais municípios;Região Administrativa de São José do Rio Preto
350270;Apiaí;RA de Itapeva;Demais municípios;Região Administrativa de Itapeva
350275;Araçariguama;RA de Sorocaba;RM de Sorocaba;Região Administrativa de Sorocaba
350280;Araçatuba;RA de Araçatuba;Demais municípios;Região Administrativa de Araçatuba
350290;Araçoiaba da Serra;RA de Sorocaba;RM de Sorocaba;Região Administrativa de Sorocaba
350300;Aramina;RA de Franca;Demais municípios;Região Administrativa de Franca
350310;Arandu;RA de Itapeva;Demais municípios;Região Administrativa de Itapeva
350315;Arapeí;RA de São José dos Campos;RM do Vale do Paraíba e Litoral Norte;Região Administrativa de São José dos Campos
350320;Araraquara;RA Central;Demais municípios;Região Administrativa Central
350330;Araras;RA de Campinas;Demais municípios;Região Administrativa de Campinas
350335;ArcoÍris;RA de Marília;Demais municípios;Região Administrativa de Marília
