município;Seção;Estoque
350010;A;879
350010;B;0
350010;C;1582
350010;D;15
350010;E;65
350010;F;342
350010;G;2730
350010;H;183
350010;I;242
350010;J;129
350010;K;195
350010;L;24
350010;M;199
350010;N;417
350010;O;50
350010;P;660
350010;Q;728
350010;R;23
350010;S;372
350010;T;0
350010;U;0
350020;A;314
350020;B;29
350020;C;12
350020;D;0
350020;E;3
350020;F;144
350020;G;77
350020;H;13
350020;I;2
350020;J;0
350020;K;5
350020;L;0
350020;M;4
350020;N;29
350020;O;17
350020;P;0
350020;Q;1
350020;R;2
350020;S;49
350020;T;0
350020;U;0
350030;A;1128
350030;B;72
350030;C;2275
350030;D;6
350030;E;25
350030;F;136
350030;G;1456
350030;H;447
350030;I;130
350030;J;22
350030;K;92
350030;L;12
350030;M;56
350030;N;443
350030;O;884
350030;P;76
350030;Q;49
350030;R;25
350030;S;103
350030;T;0
350030;U;0
350040;A;188
350040;B;0
350040;C;176
350040;D;0
350040;E;14
350040;F;65
350040;G;135
350040;H;14
350040;I;64
350040;J;5
350040;K;29
350040;L;0
350040;M;2
350040;N;9
350040;O;1
350040;P;1
350040;Q;18
350040;R;0
350040;S;35
350040;T;0
350040;U;0
350050;A;55
350050;B;0
350050;C;645
350050;D;6
350050;E;0
350050;F;34
350050;G;894
350050;H;63
350050;I;1081
350050;J;37
350050;K;92
350050;L;2
350050;M;54
350050;N;422
350050;O;879
350050;P;86
350050;Q;141
350050;R;186
350050;S;121
350050;T;0
350050;U;0
350055;A;773
350055;B;30
350055;C;41
350055;D;3
350055;E;6
350055;F;25
350055;G;136
350055;H;28
350055;I;151
350055;J;0
350055;K;19
350055;L;13
350055;M;15
350055;N;5
350055;O;0
350055;P;0
350055;Q;1
350055;R;3
350055;S;5
350055;T;0
350055;U;0
350060;A;1
350060;B;0
350060;C;20
350060;D;0
350060;E;10
350060;F;61
350060;G;250
350060;H;5
350060;I;153
350060;J;13
350060;K;19
350060;L;4
350060;M;5
350060;N;29
350060;O;24
350060;P;295
350060;Q;10
350060;R;3
350060;S;48
350060;T;0
350060;U;0
350070;A;889
350070;B;0
350070;C;2189
350070;D;45
350070;E;48
350070;F;269
350070;G;1456
350070;H;840
350070;I;248
350070;J;5
350070;K;90
350070;L;4
350070;M;118
350070;N;871
350070;O;2
350070;P;293
350070;Q;193
350070;R;46
350070;S;246
350070;T;0
350070;U;0
350075;A;285
350075;B;14
350075;C;157
350075;D;0
350075;E;0
350075;F;10
350075;G;119
350075;H;18
350075;I;30
350075;J;4
350075;K;0
350075;L;0
350075;M;2
350075;N;3
350075;O;4
350075;P;3
350075;Q;0
350075;R;1
350075;S;18
350075;T;0
350075;U;0
350080;A;43
350080;B;0
350080;C;921
350080;D;0
350080;E;3
350080;F;27
350080;G;46
350080;H;4
350080;I;5
350080;J;0
